census_tract_number,Asian,Black_or_African_American,Hispanic_or_Latino,White,minority_population,n,census_tract_id,white_population,white_application_percentage,white_application_population_delta
22.02,0.023255813953488372,0.23255813953488372,0.09302325581395349,0.6511627906976745,95.69999694824219,43,002202,4.3000030517578125,65.11627906976744,60.81627601800963
23.01,0.0425531914893617,0.1276595744680851,0.06382978723404255,0.7659574468085106,77.16999816894531,47,002301,22.830001831054688,76.59574468085107,53.76574284979638
23.02,0.0625,0.1875,0,0.75,61.130001068115234,16,002302,38.869998931884766,75,36.130001068115234
24,0.047619047619047616,0.07936507936507936,0.06349206349206349,0.8095238095238095,81.81999969482422,63,002400,18.18000030517578,80.95238095238095,62.77238064720517
25.01,0.08771929824561403,0.08771929824561403,0.10526315789473684,0.7192982456140351,76.93000030517578,57,002501,23.06999969482422,71.9298245614035,48.85982486657929
25.02,0.13043478260869565,0.10144927536231885,0.014492753623188406,0.7536231884057971,82.25,69,002502,17.75,75.36231884057972,57.61231884057972
26,0,0.23809523809523808,0,0.7619047619047619,54.720001220703125,21,002600,45.279998779296875,76.19047619047619,30.910477411179315
27.01,0.041666666666666664,0.020833333333333332,0.020833333333333332,0.9166666666666666,49.88999938964844,48,002701,50.11000061035156,91.66666666666666,41.556666056315095
27.02,0.03389830508474576,0,0.03389830508474576,0.9322033898305084,46.56999969482422,59,002702,53.43000030517578,93.22033898305084,39.790338677875056
28.01,0.09090909090909091,0.09090909090909091,0,0.8181818181818182,82.4000015258789,22,002801,17.599998474121094,81.81818181818183,64.21818334406073
28.02,0.1016949152542373,0.06779661016949153,0.06779661016949153,0.7627118644067796,75.43000030517578,59,002802,24.56999969482422,76.27118644067797,51.70118674585375
29,0.08108108108108109,0.05405405405405406,0.0945945945945946,0.7702702702702703,59.400001525878906,74,002900,40.599998474121094,77.02702702702703,36.42702855290594
30,0.2708333333333333,0.041666666666666664,0.08333333333333333,0.6041666666666666,59.81999969482422,48,003000,40.18000030517578,60.416666666666664,20.236666361490883
31,0.09210526315789473,0.02631578947368421,0.10526315789473684,0.7763157894736842,74.1500015258789,76,003100,25.849998474121094,77.63157894736842,51.78158047324733
32,0.023809523809523808,0.11904761904761904,0.09523809523809523,0.7619047619047619,82.589996337890625,84,003200,17.410003662109375,76.19047619047619,58.780472528366815
33.01,0.06451612903225806,0.08602150537634409,0,0.8494623655913979,53.220001220703125,93,003301,46.779998779296875,84.94623655913979,38.166237779842916
33.02,0.07407407407407407,0.018518518518518517,0.037037037037037035,0.8703703703703703,60.90999984741211,54,003302,39.09000015258789,87.03703703703704,47.94703688444915
34,0.06666666666666667,0.08888888888888889,0.044444444444444446,0.8,73.70999908447266,45,003400,26.290000915527344,80,53.709999084472656
35,0.14285714285714285,0.06349206349206349,0.031746031746031744,0.7619047619047619,85.3499984741211,63,003500,14.650001525878906,76.19047619047619,61.540474664597284
36,0.16176470588235295,0.029411764705882353,0.08823529411764706,0.7205882352941176,53.529998779296875,68,003600,46.470001220703125,72.05882352941177,25.588822308708643
37,0.013888888888888888,0.125,0.05555555555555555,0.8055555555555556,65.98999786376953,72,003700,34.01000213623047,80.55555555555556,46.54555341932509
38,0.13392857142857142,0.044642857142857144,0.10714285714285714,0.7142857142857143,42.93000030517578,112,003800,57.06999969482422,71.42857142857143,14.358571733747212
39,0.11764705882352941,0.014705882352941176,0.07352941176470588,0.7941176470588235,27.229999542236328,68,003900,72.77000045776367,79.41176470588235,6.641764248118676
40.01,0.07608695652173914,0.010869565217391304,0.05434782608695652,0.8586956521739131,20.780000686645508,92,004001,79.21999931335449,85.86956521739131,6.64956590403682
40.02,0.07142857142857142,0.014285714285714285,0.08571428571428572,0.8285714285714286,20.350000381469727,70,004002,79.64999961853027,82.85714285714286,3.2071432386125878
41,0.06896551724137931,0.06896551724137931,0.06896551724137931,0.7931034482758621,24.899999618530273,29,004100,75.10000038146973,79.3103448275862,4.21034444611648
42.01,0.09195402298850575,0.05747126436781609,0.06896551724137931,0.7816091954022989,22.010000228881836,87,004201,77.98999977111816,78.16091954022988,0.1709197691117197
42.02,0.08695652173913043,0.06521739130434782,0.13043478260869565,0.717391304347826,23.3799991607666,46,004202,76.6200008392334,71.73913043478261,-4.880870404450789
43,0.017241379310344827,0.05172413793103448,0.06896551724137931,0.8620689655172413,47.689998626708984,58,004300,52.310001373291016,86.20689655172413,33.89689517843311
44,0.13815789473684212,0.03289473684210526,0.03289473684210526,0.7960526315789473,32.22999954223633,152,004400,67.77000045776367,79.60526315789474,11.835262700131068
46,0.18055555555555555,0.041666666666666664,0.05555555555555555,0.7222222222222222,68.58000183105469,72,004600,31.419998168945312,72.22222222222221,40.8022240532769
47.01,0.2571428571428571,0.11428571428571428,0.05714285714285714,0.5714285714285714,85.220001220703125,35,004701,14.779998779296875,57.14285714285714,42.362858363560264
47.02,0.08571428571428572,0.05714285714285714,0.14285714285714285,0.7142857142857143,50.310001373291016,35,004702,49.689998626708984,71.42857142857143,21.738572801862446
48.01,0.046153846153846156,0.09230769230769231,0.015384615384615385,0.8461538461538461,64.81999969482422,65,004801,35.18000030517578,84.61538461538461,49.43538431020883
48.02,0.1794871794871795,0.07692307692307693,0.02564102564102564,0.717948717948718,74.86000061035156,39,004802,25.139999389648438,71.7948717948718,46.65487240522336
49.01,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.75,66.5,24,004901,33.5,75,41.5
49.02,0.1897810218978102,0.029197080291970802,0.058394160583941604,0.7226277372262774,56.369998931884766,137,004902,43.630001068115234,72.26277372262774,28.632772654512507
50.01,0.15,0.05,0.075,0.725,38.709999084472656,40,005001,61.290000915527344,72.5,11.209999084472656
50.02,0.13496932515337423,0.024539877300613498,0.09202453987730061,0.7484662576687117,53.59000015258789,163,005002,46.40999984741211,74.84662576687117,28.43662591945906
52.01,0.15168539325842698,0.02247191011235955,0.07865168539325842,0.7471910112359551,28.280000686645508,178,005201,71.71999931335449,74.71910112359551,2.999101810241015
53.01,0.11926605504587157,0.03669724770642202,0.10091743119266056,0.7431192660550459,23.760000228881836,109,005301,76.23999977111816,74.31192660550458,-1.9280731656135828
55,0.168,0.008,0.12,0.704,32.0099983215332,125,005500,67.9900016784668,70.39999999999999,2.4099983215331946
56,0.2,0,0.10666666666666667,0.6933333333333334,32.209999084472656,75,005600,67.79000091552734,69.33333333333334,1.543332417805999
58,0.08536585365853659,0.04878048780487805,0.06097560975609756,0.8048780487804879,37.61000061035156,82,005800,62.38999938964844,80.48780487804879,18.097805488400354
59,0.2857142857142857,0,0.07142857142857142,0.6428571428571429,44,14,005900,56,64.28571428571429,8.285714285714292
62.02,0,0,1,0,43.59000015258789,1,006202,56.40999984741211,0,-56.40999984741211
64,0.15384615384615385,0.23076923076923078,0.15384615384615385,0.46153846153846156,91.63999938964844,13,006400,8.3600006103515625,46.15384615384615,37.79384554349459
65,0.08333333333333333,0.027777777777777776,0,0.8888888888888888,25.510000228881836,36,006500,74.48999977111816,88.88888888888889,14.398889117770722
66,0.14285714285714285,0.02857142857142857,0,0.8285714285714286,15.069999694824219,35,006600,84.93000030517578,82.85714285714286,-2.07285744803292
67,0,0.046153846153846156,0,0.9538461538461539,22.360000610351562,65,006700,77.63999938964844,95.38461538461539,17.74461599496695
68.01,0.045454545454545456,0.10606060606060606,0.07575757575757576,0.7727272727272727,63.7599983215332,66,006801,36.2400016784668,77.27272727272727,41.03272559426047
